,domain,instance,planner,type,solved,SAT,time,memory,timeout,memoryout,policysize
3134,first-responders-ipc08,p101,asp2,asp,True,True,6.631156899034977,0.87109375,False,False,5
3228,first-responders-ipc08,p04,asp2,asp,True,True,0.9282727078534664,1.23828125,False,False,7
1762,islands,p50,asp2,asp,True,True,11.996432460378855,1.10546875,False,False,12
1772,islands,p20,asp2,asp,True,True,2.137397811282426,1.171875,False,False,6
1782,islands,p35,asp2,asp,True,True,12.611431448720396,1.15625,False,False,8
1792,islands,p48,asp2,asp,True,True,58.858168551232666,849.9453125,False,False,10
1802,islands,p22,asp2,asp,True,True,2.8711244170553982,1.11328125,False,False,6
1812,islands,p29,asp2,asp,True,True,3.832871356979013,1.3203125,False,False,8
1822,islands,p25,asp2,asp,True,True,1.1950524598360062,0.86328125,False,False,8
1832,islands,p44,asp2,asp,True,True,26.50785840395838,0.890625,False,False,10
1842,islands,p58,asp2,asp,True,True,125.04268736112864,1127.98046875,False,False,12
1852,islands,p06,asp2,asp,True,True,1.1162513471208513,0.921875,False,False,5
1862,islands,p01,asp2,asp,True,True,0.9753931569866836,0.890625,False,False,5
1872,islands,p17,asp2,asp,True,True,1.3838570560328662,1.21875,False,False,6
1882,islands,p13,asp2,asp,True,True,0.9979472132399678,1.12890625,False,False,6
1892,islands,p16,asp2,asp,True,True,1.206792983226478,1.109375,False,False,6
1902,islands,p14,asp2,asp,True,True,1.0774643756449225,1.296875,False,False,6
1912,islands,p03,asp2,asp,True,True,1.0009839539416134,1.28125,False,False,5
1922,islands,p18,asp2,asp,True,True,1.69673346914351,0.9453125,False,False,6
1932,islands,p26,asp2,asp,True,True,1.8386469352990389,1.2890625,False,False,8
1942,islands,p30,asp2,asp,True,True,5.242079559713602,1.18359375,False,False,8
1952,islands,p27,asp2,asp,True,True,2.357741732615977,1.22265625,False,False,8
1962,islands,p52,asp2,asp,True,True,31.910850283224136,247.3984375,False,False,12
1972,islands,p42,asp2,asp,True,True,17.842909111175686,0.88671875,False,False,10
1982,islands,p36,asp2,asp,True,True,13.743314302992076,0.75390625,False,False,8
1992,islands,p56,asp2,asp,True,True,103.68231057329103,1174.8984375,False,False,12
2002,islands,p41,asp2,asp,True,True,12.894927341025324,1.09765625,False,False,10
2012,islands,p49,asp2,asp,True,True,4.27739932294935,1.1171875,False,False,12
2022,islands,p57,asp2,asp,True,True,137.86116118822247,824.6328125,False,False,12
2032,islands,p24,asp2,asp,True,True,4.025606667157263,1.08203125,False,False,6
2042,islands,p07,asp2,asp,True,True,1.191949469037354,1.23046875,False,False,5
2052,islands,p09,asp2,asp,True,True,1.3645907351747155,1.28125,False,False,5
2062,islands,p23,asp2,asp,True,True,3.4603834240697324,1.28125,False,False,6
2072,islands,p12,asp2,asp,True,True,1.4050411889329553,1.1328125,False,False,5
2082,islands,p08,asp2,asp,True,True,1.1458541071042418,1.0546875,False,False,5
2092,islands,p15,asp2,asp,True,True,1.1397104910574851,0.89453125,False,False,6
2102,islands,p47,asp2,asp,True,True,50.07926857890561,151.9375,False,False,10
2112,islands,p02,asp2,asp,True,True,0.9252777840010822,0.69140625,False,False,5
2122,islands,p10,asp2,asp,True,True,1.2833236907608807,1.3046875,False,False,5
2132,islands,p38,asp2,asp,True,True,4.049953852780163,1.10546875,False,False,10
2142,islands,p60,asp2,asp,True,True,200.86432969430464,1495.1484375,False,False,12
2152,islands,p40,asp2,asp,True,True,9.008370601106437,0.87890625,False,False,10
2162,islands,p46,asp2,asp,True,True,40.75433307187632,129.52734375,False,False,10
2172,islands,p54,asp2,asp,True,True,60.84841967001557,336.04296875,False,False,12
2182,islands,p32,asp2,asp,True,True,7.770663348957896,1.16796875,False,False,8
2192,islands,p05,asp2,asp,True,True,1.06794941611588,0.90625,False,False,5
2202,islands,p53,asp2,asp,True,True,42.98701904062182,257.44140625,False,False,12
2212,islands,p59,asp2,asp,True,True,173.65331559395418,1944.99609375,False,False,12
2222,islands,p34,asp2,asp,True,True,10.703451110981405,0.71875,False,False,8
2232,islands,p33,asp2,asp,True,True,9.578873082064092,0.6875,False,False,8
2242,islands,p45,asp2,asp,True,True,36.614647834561765,236.07421875,False,False,10
2252,islands,p28,asp2,asp,True,True,2.866387637797743,1.140625,False,False,8
2262,islands,p43,asp2,asp,True,True,22.728287999052554,1.04296875,False,False,10
2272,islands,p39,asp2,asp,True,True,6.157042284030467,0.7578125,False,False,10
2282,islands,p21,asp2,asp,True,True,2.49908036692068,0.921875,False,False,6
2292,islands,p11,asp2,asp,True,True,1.4399362509138882,1.0859375,False,False,5
2302,islands,p55,asp2,asp,True,True,82.95112984394655,333.59765625,False,False,12
2312,islands,p51,asp2,asp,True,True,19.95256821298972,0.83984375,False,False,12
2322,islands,p31,asp2,asp,True,True,6.4641574448905885,0.72265625,False,False,8
2332,islands,p37,asp2,asp,True,True,2.006881420034915,1.23046875,False,False,10
2342,islands,p19,asp2,asp,True,True,1.8323566396720707,1.09765625,False,False,6
2352,islands,p04,asp2,asp,True,True,1.0407649311237035,0.89453125,False,False,5
300,miner,p50,asp2,asp,True,True,1107.1369340261444,2077.4375,False,False,24
312,miner,p20,asp2,asp,True,True,146.6031676866114,594.18359375,False,False,19
324,miner,p35,asp2,asp,True,True,222.98714079987252,889.62890625,False,False,18
336,miner,p48,asp2,asp,True,True,929.0429465686902,2234.83203125,False,False,24
348,miner,p22,asp2,asp,True,True,431.1352394297719,970.75,False,False,26
360,miner,p29,asp2,asp,True,True,150.68474283162504,615.7421875,False,False,19
372,miner,p25,asp2,asp,True,True,150.41687469370663,484.1328125,False,False,20
384,miner,p44,asp2,asp,True,True,486.61580976471305,1175.8125,False,False,22
396,miner,p01,asp2,asp,True,True,4.922422886826098,1.421875,False,False,18
