,domain,instance,solver,type,status,SAT,time,memory,timeout,memoryout,policysize
968,first-responders-ipc08,p17,glucose-4h,fondsat,True,True,281.98800660762936,92.17578125,False,False,17
970,first-responders-ipc08,p10,minisat-4h,fondsat,True,True,681.7353041311726,76.6171875,False,False,13
971,first-responders-ipc08,p10,prp-4h,prp,True,True,0.1885783351026475,0.92578125,False,False,14
978,first-responders-ipc08,p10,glucose-4h,fondsat,True,True,26.79654983337969,1.35546875,False,False,13
980,first-responders-ipc08,p44,prp-4h,prp,True,True,0.2251292672008276,1.2265625,False,False,23
986,first-responders-ipc08,p44,glucose-4h,fondsat,True,True,114.25814039912076,76.51171875,False,False,18
987,first-responders-ipc08,p43,minisat-4h,fondsat,True,True,2.9802189711481333,1.08984375,False,False,10
988,first-responders-ipc08,p43,prp-4h,prp,True,True,12.823188110021874,11.89453125,False,False,11
991,first-responders-ipc08,p43,paladinus-4h,paladinus,True,True,2.78293649898842,102.109375,False,False,14
994,first-responders-ipc08,p43,glucose-4h,fondsat,True,True,2.190670127980411,1.34765625,False,False,10
996,first-responders-ipc08,p88,prp-4h,prp,True,True,0.5460608568973839,1.30859375,False,False,39
1003,first-responders-ipc08,p75,minisat-4h,fondsat,True,True,1491.1413910174742,851.83984375,False,False,14
1004,first-responders-ipc08,p75,prp-4h,prp,True,True,0.3755274810828268,0.87109375,False,False,15
1010,first-responders-ipc08,p75,glucose-4h,fondsat,True,True,285.4666283321567,200.9921875,False,False,14
1011,first-responders-ipc08,p81,minisat-4h,fondsat,True,True,3.890993131324649,1.37890625,False,False,5
1012,first-responders-ipc08,p81,prp-4h,prp,True,True,0.263090532971546,1.16015625,False,False,6
1015,first-responders-ipc08,p81,paladinus-4h,paladinus,True,True,2.6673813241068274,90.51953125,False,False,5
1018,first-responders-ipc08,p81,glucose-4h,fondsat,True,True,6.8628534148447216,0.8671875,False,False,5
