scenario,instance,solver,total-time,ground-time,solve-time,iteration
acrobatics,p05,asp-1,320.292,25.081999999999994,295.21,26
acrobatics,p05,asp-1,0.668,0.648,0.02,2
acrobatics,p05,asp-1,2333.7,53.54999999999973,2280.15,38
acrobatics,p05,asp-1,109.174,18.614000000000004,90.56,24
acrobatics,p05,asp-1,16614.3,111.43000000000029,16502.87,47
acrobatics,p05,asp-1,4705.542,58.63200000000052,4646.91,43
acrobatics,p05,asp-1,5.599,3.7090000000000005,1.89,10
acrobatics,p05,asp-1,1273.528,66.87799999999993,1206.65,36
acrobatics,p05,asp-1,32.538,10.107999999999997,22.43,17
acrobatics,p05,asp-1,5.79,4.47,1.32,11
acrobatics,p05,asp-1,13.753,7.673,6.08,12
acrobatics,p05,asp-1,24.8,12.770000000000001,12.03,16
acrobatics,p05,asp-1,1.394,1.3739999999999999,0.02,4
acrobatics,p05,asp-1,39.983,10.092999999999996,29.89,19
acrobatics,p05,asp-1,10568.479,62.85899999999856,10505.62,46
acrobatics,p05,asp-1,866.81,47.70999999999992,819.1,34
acrobatics,p05,asp-1,2725.123,59.12300000000005,2666.0,39
acrobatics,p05,asp-1,2.436,2.176,0.26,7
acrobatics,p05,asp-1,6683.748,58.26800000000003,6625.48,44
acrobatics,p05,asp-1,8236.53,111.73000000000047,8124.8,45
acrobatics,p05,asp-1,298.296,23.875999999999976,274.42,27
acrobatics,p05,asp-1,943.768,36.18799999999999,907.58,33
acrobatics,p05,asp-1,2.892,2.3419999999999996,0.55,9
acrobatics,p05,asp-1,99.557,16.387,83.17,22
acrobatics,p05,asp-1,19.014,10.904,8.11,14
acrobatics,p05,asp-1,3572.009,83.5590000000002,3488.45,42
acrobatics,p05,asp-1,1.168,1.0779999999999998,0.09,5
acrobatics,p05,asp-1,19.957,11.747,8.21,15
acrobatics,p05,asp-1,0.601,0.601,0.0,1
acrobatics,p05,asp-1,13414.138,71.87800000000061,13342.26,48
acrobatics,p05,asp-1,771.741,38.740999999999985,733.0,32
acrobatics,p05,asp-1,1.737,1.667,0.07,6
acrobatics,p05,asp-1,1323.405,34.85500000000002,1288.55,35
acrobatics,p05,asp-1,3771.459,51.29899999999998,3720.16,41
acrobatics,p05,asp-1,72.33,16.4,55.93,18
acrobatics,p05,asp-1,721.234,33.134000000000015,688.1,29
acrobatics,p05,asp-1,52.707,22.417,30.29,20
acrobatics,p05,asp-1,63.092,25.241999999999997,37.85,21
acrobatics,p05,asp-1,1082.257,55.047000000000025,1027.21,37
acrobatics,p05,asp-1,1.326,1.306,0.02,3
acrobatics,p05,asp-1,1899.691,51.21100000000001,1848.48,40
acrobatics,p05,asp-1,93.8,26.810000000000002,66.99,23
acrobatics,p05,asp-1,284.259,31.069000000000017,253.19,25
acrobatics,p05,asp-1,2.476,2.106,0.37,8
acrobatics,p05,asp-1,751.748,32.5680000000001,719.18,31
acrobatics,p05,asp-1,16.879,8.869000000000002,8.01,13
acrobatics,p05,fondsat-glucose,0.11002300000000001,0.101094,0.008929,1
acrobatics,p05,fondsat-glucose,0.21965099999999999,0.171974,0.047677,2
acrobatics,p05,fondsat-glucose,0.399188,0.319429,0.079759,3
acrobatics,p05,fondsat-glucose,0.7199639999999999,0.597887,0.122077,4
acrobatics,p05,fondsat-glucose,1.12262,0.940926,0.181694,5
acrobatics,p05,fondsat-glucose,1.161284,0.882369,0.278915,6
acrobatics,p05,fondsat-glucose,1.7960990000000001,1.524321,0.271778,7
acrobatics,p05,fondsat-glucose,1.988865,1.612762,0.376103,8
acrobatics,p05,fondsat-glucose,3.090509,2.189126,0.901383,9
acrobatics,p05,fondsat-glucose,2.2865729999999997,1.435836,0.850737,10
